,0
85,0
689,0
132,0
703,0
9,0
686,0
285,1
491,0
82,0
64,0
469,0
646,0
221,0
462,0
605,0
119,0
625,0
444,0
203,1
640,0
226,0
684,0
299,1
573,0
121,0
336,1
161,0
167,0
369,0
644,0
300,0
151,0
182,0
426,0
59,1
577,0
195,0
40,0
694,0
249,0
362,0
478,0
457,0
529,0
652,0
456,0
395,0
124,0
604,0
772,0
624,0
261,0
747,0
169,0
254,0
610,1
34,0
227,0
541,0
733,0
614,0
163,1
649,0
598,0
31,1
183,0
743,0
591,0
545,0
415,0
592,0
429,0
103,0
726,0
750,0
548,1
458,1
196,0
272,0
120,0
266,1
127,0
343,0
543,0
601,0
80,0
349,1
641,0
332,0
279,0
565,1
159,0
659,0
192,0
22,0
181,0
275,0
748,0
586,0
122,0
783,0
331,1
212,0
66,0
190,0
84,0
242,0
155,0
705,0
671,1
328,0
101,0
546,0
318,0
448,0
788,0
470,0
682,0
245,0
313,0
370,0
547,0
757,0
142,0
327,0
345,0
45,0
421,0
373,0
558,0
402,0
26,0
268,0
63,0
594,0
378,1
776,0
33,1
738,1
346,0
118,0
15,0
367,0
42,0
381,0
174,0
310,0
721,0
587,0
93,0
363,0
487,0
388,0
153,0
116,0
532,0
790,0
329,1
676,0
18,1
23,0
276,0
30,0
583,0
0,0
72,0
670,0
749,0
344,0
443,1
115,0
309,0
389,0
560,0
597,0
542,1
511,0
24,0
533,0
326,0
199,0
205,0
320,0
348,0
375,0
525,0
453,0
741,0
311,0
722,0
773,0
264,0
713,0
666,0
599,0
308,0
295,0
697,0
620,0
282,0
699,0
148,0
492,0
739,0
105,0
745,0
114,0
234,0
461,0
435,0
551,0
49,0
243,0
302,0
278,0
179,0
201,0
157,0
231,0
730,0
633,0
775,0
756,0
708,0
298,0
650,0
771,1
297,1
352,0
32,0
430,1
386,0
204,0
125,0
175,0
585,0
536,0
235,0
110,0
95,0
774,1
20,0
683,0
657,0
28,0
277,0
654,0
284,1
416,0
256,0
184,0
398,0
468,0
606,0
211,1
581,0
89,0
404,1
376,0
228,0
191,0
447,0
734,0
623,0
531,0
690,0
550,0
691,0
740,0
27,1
452,1
216,0
248,0
189,0
658,0
391,0
517,0
70,0
287,0
667,0
617,0
554,0
21,0
779,0
784,1
450,0
508,0
368,0
335,0
564,0
219,0
233,1
223,0
476,0
414,0
288,0
663,0
518,0
160,0
561,0
366,0
347,0
770,0
665,0
479,0
258,0
568,0
52,0
505,1
613,0
94,0
483,1
712,0
765,0
104,0
764,0
612,0
353,0
736,0
780,0
524,0
534,0
241,1
333,0
71,1
474,0
356,0
6,0
523,0
403,0
653,0
500,0
527,0
528,0
760,0
61,1
603,0
445,0
62,0
431,0
37,0
677,0
629,0
664,0
128,0
785,0
563,0
165,1
549,0
7,0
709,0
38,0
621,0
400,0
701,0
12,0
794,0
619,1
439,0
286,0
144,0
570,0
413,0
618,0
580,0
477,0
25,0
81,0
361,1
133,1
1,0
593,0
19,0
29,0
334,0
501,0
768,0
350,0
83,0
495,0
330,0
53,0
799,1
173,0
436,0
488,0
679,0
732,0
466,0
751,0
678,0
423,0
781,0
149,0
516,0
218,0
494,0
464,0
143,0
126,0
152,0
238,0
535,0
702,0
247,0
108,0
383,0
337,0
777,0
44,0
405,0
634,0
506,0
324,0
710,0
168,0
137,0
422,0
220,0
225,0
454,0
519,0
675,1
579,0
355,0
711,0
136,0
792,0
681,0
602,0
729,0
696,0
724,0
293,1
754,0
10,0
767,0
540,0
251,0
207,0
393,0
69,0
194,0
572,1
607,0
112,0
325,0
312,0
432,0
502,0
341,0
611,0
707,0
507,0
441,0
281,1
407,0
187,0
442,0
727,1
459,0
92,0
410,0
574,0
782,0
503,0
475,0
723,1
557,0
130,0
728,0
562,0
609,0
197,0
215,0
672,0
793,0
716,0
481,0
575,0
471,1
440,0
656,0
257,0
428,0
762,0
497,0
635,0
490,0
460,0
76,0
552,0
700,0
706,0
65,0
735,0
206,0
8,0
77,1
692,0
58,0
472,0
424,1
377,0
480,0
496,0
631,0
769,0
319,0
364,0
412,0
141,0
88,0
647,0
323,0
321,0
60,0
486,0
385,0
419,0
433,0
301,0
778,0
296,1
315,0
744,1
46,0
86,0
109,0
360,0
645,0
16,0
493,0
193,0
761,0
628,0
401,0
539,1
438,0
140,0
198,0
467,0
14,0
87,0
265,0
262,0
222,0
259,0
3,0
354,0
489,0
615,0
473,0
661,0
139,0
67,0
515,0
342,0
56,0
304,0
51,0
513,0
465,0
530,0
305,0
434,1
537,0
695,0
357,0
186,0
555,0
129,0
359,0
244,0
255,0
390,0
720,0
154,0
371,0
798,0
582,0
759,0
158,0
755,0
271,1
484,0
146,0
717,0
394,0
418,0
576,0
791,1
680,0
588,0
290,0
411,0
630,0
213,0
358,0
180,0
380,1
99,0
135,0
176,0
504,0
559,1
596,0
796,0
39,0
340,0
2,0
451,0
68,0
208,0
608,0
420,0
253,1
339,0
409,0
111,0
224,0
544,0
73,0
47,0
638,0
113,0
96,0
737,0
214,0
569,0
123,0
106,0
595,0
17,0
742,0
98,0
322,0
382,0
365,0
510,0
